Ze_hex,Zm_hex,XZero,YZero,ZZero,Xe_hex,Ye_hex,Am_hex,ASticky,KillProd
0x0F,0x000,0,0,0,0x0F,0x0F,0x000,0,0
0x0F,0x3FF,0,0,0,0x10,0x0F,0x1FF,1,0
0x0F,0x3FF,0,0,0,0x14,0x0F,0x01F,1,0
0x0F,0x3FF,0,0,0,0x1A,0x0F,0x000,1,0
0x0F,0x155,0,0,0,0x05,0x0A,0x000,1,0
0x0F,0x001,0,0,0,0x05,0x0A,0x000,1,0
0x0F,0x200,1,0,0,0x10,0x0F,0x100,0,1
0x0F,0x200,0,1,0,0x10,0x0F,0x100,0,1
0x0F,0x200,0,0,1,0x10,0x0F,0x100,0,1
0x00,0x2AA,0,0,0,0x1F,0x00,0x000,1,0
0x1F,0x2AA,0,0,0,0x1F,0x00,0x000,1,0
0x05,0x3FF,0,0,0,0x0F,0x05,0x000,1,0
0x08,0x0BE,0,0,0,0x1B,0x1E,0x000,1,0
0x1A,0x060,0,0,0,0x13,0x10,0x00C,0,0
0x06,0x1E2,0,0,0,0x0C,0x0C,0x1E2,0,0
0x01,0x36E,0,0,1,0x1F,0x03,0x000,1,1
0x02,0x23D,0,0,0,0x19,0x0C,0x000,1,0
0x11,0x355,0,0,0,0x0A,0x12,0x000,1,0
0x09,0x3FC,0,0,0,0x0F,0x18,0x000,1,0
0x12,0x027,0,0,0,0x0E,0x1C,0x000,1,0
0x1C,0x2A7,0,0,0,0x03,0x03,0x2A7,0,0
0x05,0x08E,0,0,0,0x14,0x0F,0x004,1,0
0x17,0x1BA,0,0,0,0x0F,0x02,0x000,1,0
0x03,0x1FA,0,0,0,0x00,0x01,0x000,1,0
0x1F,0x08C,0,0,0,0x0E,0x0C,0x023,0,0
0x07,0x293,0,0,0,0x1D,0x1A,0x052,1,0
0x17,0x1D2,0,0,0,0x0E,0x1A,0x000,1,0
0x0C,0x092,0,0,0,0x01,0x08,0x000,1,0
0x05,0x39F,0,0,0,0x13,0x1D,0x000,1,0
