Xe_hex,Ye_hex,XZero,YZero,Pe_hex,PeOverflow
0x00,0x00,1,1,0x000,0
0x0F,0x0F,1,1,0x000,0
0x00,0x00,1,0,0x000,0
0x00,0x0F,1,0,0x000,0
0x00,0x1F,1,0,0x000,0
0x00,0x00,0,1,0x000,0
0x0F,0x00,0,1,0x000,0
0x1F,0x00,0,1,0x000,0
0x0F,0x0F,0,0,0x00F,0
0x01,0x01,0,0,0x000,0
0x01,0x0F,0,0,0x001,0
0x00,0x0F,0,0,0x000,0
0x0F,0x00,0,0,0x000,0
0x1F,0x1F,0,0,0x01F,1
0x14,0x14,0,0,0x019,0
0x10,0x10,0,0,0x011,0
0x1E,0x1E,0,0,0x01F,1
0x10,0x0F,0,0,0x010,0
0x14,0x0B,0,0,0x010,0
0x0F,0x1E,0,0,0x01E,0
0x16,0x17,0,0,0x01E,0
0x10,0x1E,0,0,0x01F,1
0x17,0x17,0,0,0x01F,1
0x1F,0x00,0,0,0x010,0
0x00,0x1F,0,0,0x010,0
0x1F,0x01,0,0,0x011,0
0x01,0x1F,0,0,0x011,0
0x1F,0x0F,0,0,0x01F,1
0x0F,0x1F,0,0,0x01F,1
0x1F,0x04,0,0,0x014,0
0x19,0x0B,0,0,0x015,0
0x12,0x07,1,0,0x000,0
0x01,0x04,0,0,0x000,0
0x0C,0x0D,1,0,0x000,0
0x14,0x18,0,0,0x01D,0
0x02,0x0B,0,0,0x000,0
0x15,0x05,0,1,0x000,0
0x12,0x02,0,0,0x005,0
0x1E,0x0C,0,0,0x01B,0
0x15,0x03,1,0,0x000,0
0x10,0x0C,0,0,0x00D,0
0x1B,0x07,0,0,0x013,0
0x13,0x02,0,0,0x006,0
0x19,0x09,0,0,0x013,0
0x05,0x16,0,0,0x00C,0
0x16,0x13,0,0,0x01A,0
0x12,0x0E,0,0,0x011,0
0x10,0x0E,0,0,0x00F,0
0x11,0x1D,0,0,0x01F,1
0x04,0x0A,0,0,0x000,0
0x00,0x19,0,0,0x00A,0
0x1E,0x09,0,0,0x018,0
0x0C,0x15,0,0,0x012,0
0x17,0x12,0,0,0x01A,0
0x0F,0x07,0,0,0x007,0
0x0E,0x0C,1,1,0x000,0
0x0B,0x07,1,0,0x000,0
0x10,0x04,0,0,0x005,0
0x07,0x10,0,0,0x008,0
0x0E,0x0F,0,0,0x00E,0
0x1F,0x13,0,0,0x01F,1
