X_hex,SgnX,ExpX,ManX,XNaN,XSNaN,XZero,XInf,XExpMax,XSubnorm
0x0000,0,0,0,0,0,1,0,0,0
0x8000,1,0,0,0,0,1,0,0,0
0x0001,0,0,1,0,0,0,0,0,1
0x0400,0,1,1024,0,0,0,0,0,0
0x03FF,0,0,1023,0,0,0,0,0,1
0x83FF,1,0,1023,0,0,0,0,0,1
0x8400,1,1,1024,0,0,0,0,0,0
0x3C00,0,15,1024,0,0,0,0,0,0
0xBC00,1,15,1024,0,0,0,0,0,0
0x7BFF,0,30,2047,0,0,0,0,0,0
0xFBFF,1,30,2047,0,0,0,0,0,0
0x7C00,0,31,1024,0,0,0,1,1,0
0xFC00,1,31,1024,0,0,0,1,1,0
0x7E00,0,31,1536,1,1,0,0,1,0
0xFE00,1,31,1536,1,1,0,0,1,0
0x7D00,0,31,1280,1,0,0,0,1,0
0xFD00,1,31,1280,1,0,0,0,1,0
0xD54F,1,21,1359,0,0,0,0,0,0
0x0534,0,1,1332,0,0,0,0,0,0
0x98E7,1,6,1255,0,0,0,0,0,0
0xBCA0,1,15,1184,0,0,0,0,0,0
0x6327,0,24,1831,0,0,0,0,0,0
0x8A5D,1,2,1629,0,0,0,0,0,0
0xDF59,1,23,1881,0,0,0,0,0,0
0x52C8,0,20,1736,0,0,0,0,0,0
0xBF02,1,15,1794,0,0,0,0,0,0
0x3F9F,0,15,1951,0,0,0,0,0,0
0xDDA9,1,23,1449,0,0,0,0,0,0
0x85AD,1,1,1453,0,0,0,0,0,0
0x5943,0,22,1347,0,0,0,0,0,0
0x5FA5,0,23,1957,0,0,0,0,0,0
0xB5B5,1,13,1461,0,0,0,0,0,0
0x2EBE,0,11,1726,0,0,0,0,0,0
0xD301,1,20,1793,0,0,0,0,0,0
0x5549,0,21,1353,0,0,0,0,0,0
0x4BD9,0,18,2009,0,0,0,0,0,0
0x6953,0,26,1363,0,0,0,0,0,0
0x27DA,0,9,2010,0,0,0,0,0,0
0x6143,0,24,1347,0,0,0,0,0,0
0xAEE1,1,11,1761,0,0,0,0,0,0
0xA4E2,1,9,1250,0,0,0,0,0,0
0x0C0A,0,3,1034,0,0,0,0,0,0
0xEAEC,1,26,1772,0,0,0,0,0,0
0xADD5,1,11,1493,0,0,0,0,0,0
0x0DC1,0,3,1473,0,0,0,0,0,0
0xD4B9,1,21,1209,0,0,0,0,0,0
0x01C4,0,0,452,0,0,0,0,0,1
0x036A,0,0,874,0,0,0,0,0,1
0x53DE,0,20,2014,0,0,0,0,0,0
0x5B95,0,22,1941,0,0,0,0,0,0
0x92B9,1,4,1721,0,0,0,0,0,0
0x32F1,0,12,1777,0,0,0,0,0,0
0xD43D,1,21,1085,0,0,0,0,0,0
0x3637,0,13,1591,0,0,0,0,0,0
0x5D01,0,23,1281,0,0,0,0,0,0
0xC000,1,16,1024,0,0,0,0,0,0
0x771A,0,29,1818,0,0,0,0,0,0
0xA8E7,1,10,1255,0,0,0,0,0,0
0x149B,0,5,1179,0,0,0,0,0,0
0x76F1,0,29,1777,0,0,0,0,0,0
0x3D56,0,15,1366,0,0,0,0,0,0
0xFF9A,1,31,1946,1,1,0,0,1,0
0x6EC9,0,27,1737,0,0,0,0,0,0
0x5F24,0,23,1828,0,0,0,0,0,0
0x83F5,1,0,1013,0,0,0,0,0,1
0xDE0A,1,23,1546,0,0,0,0,0,0
0x427E,0,16,1662,0,0,0,0,0,0
0x1544,0,5,1348,0,0,0,0,0,0
0x5409,0,21,1033,0,0,0,0,0,0
0x9A47,1,6,1607,0,0,0,0,0,0
0x04CA,0,1,1226,0,0,0,0,0,0
0x4CF0,0,19,1264,0,0,0,0,0,0
0x754E,0,29,1358,0,0,0,0,0,0
0xB30F,1,12,1807,0,0,0,0,0,0
0xAF16,1,11,1814,0,0,0,0,0,0
0x505F,0,20,1119,0,0,0,0,0,0
0xC5A3,1,17,1443,0,0,0,0,0,0
0xA5C3,1,9,1475,0,0,0,0,0,0
0x0693,0,1,1683,0,0,0,0,0,0
0x1940,0,6,1344,0,0,0,0,0,0
0x1F2C,0,7,1836,0,0,0,0,0,0
0xE3E5,1,24,2021,0,0,0,0,0,0
0x2839,0,10,1081,0,0,0,0,0,0
0xC6B5,1,17,1717,0,0,0,0,0,0
0x5BE5,0,22,2021,0,0,0,0,0,0
0x05FE,0,1,1534,0,0,0,0,0,0
0xBC4A,1,15,1098,0,0,0,0,0,0
0x6E42,0,27,1602,0,0,0,0,0,0
0x3E35,0,15,1589,0,0,0,0,0,0
0xF628,1,29,1576,0,0,0,0,0,0
0x1F80,0,7,1920,0,0,0,0,0,0
0x0713,0,1,1811,0,0,0,0,0,0
0xFBCC,1,30,1996,0,0,0,0,0,0
0xA6CA,1,9,1738,0,0,0,0,0,0
0xD776,1,21,1910,0,0,0,0,0,0
0x6737,0,25,1847,0,0,0,0,0,0
0xBA83,1,14,1667,0,0,0,0,0,0
0x3D1F,0,15,1311,0,0,0,0,0,0
0x4CA0,0,19,1184,0,0,0,0,0,0
0x28FB,0,10,1275,0,0,0,0,0,0
0xFD62,1,31,1378,1,0,0,0,1,0
0x5474,0,21,1140,0,0,0,0,0,0
0xABCD,1,10,1997,0,0,0,0,0,0
0x7616,0,29,1558,0,0,0,0,0,0
0x6810,0,26,1040,0,0,0,0,0,0
0x53BB,0,20,1979,0,0,0,0,0,0
0x5354,0,20,1876,0,0,0,0,0,0
0x939B,1,4,1947,0,0,0,0,0,0
0x4CDF,0,19,1247,0,0,0,0,0,0
0x2E62,0,11,1634,0,0,0,0,0,0
0x01B4,0,0,436,0,0,0,0,0,1
0x4B07,0,18,1799,0,0,0,0,0,0
0x01A1,0,0,417,0,0,0,0,0,1
0xFDFC,1,31,1532,1,0,0,0,1,0
0x5EA5,0,23,1701,0,0,0,0,0,0
0x3116,0,12,1302,0,0,0,0,0,0
0x874F,1,1,1871,0,0,0,0,0,0
0xCFF1,1,19,2033,0,0,0,0,0,0
0x21DA,0,8,1498,0,0,0,0,0,0
0xEBF6,1,26,2038,0,0,0,0,0,0
0xD55C,1,21,1372,0,0,0,0,0,0
0x5D26,0,23,1318,0,0,0,0,0,0
0x7C8D,0,31,1165,1,0,0,0,1,0
0x5E5F,0,23,1631,0,0,0,0,0,0
0x0DF7,0,3,1527,0,0,0,0,0,0
0xBEEE,1,15,1774,0,0,0,0,0,0
0xA932,1,10,1330,0,0,0,0,0,0
0x5A17,0,22,1559,0,0,0,0,0,0
0xCA1F,1,18,1567,0,0,0,0,0,0
0x5B0F,0,22,1807,0,0,0,0,0,0
0x5B20,0,22,1824,0,0,0,0,0,0
0x7F75,0,31,1909,1,1,0,0,1,0
0xD395,1,20,1941,0,0,0,0,0,0
0xD5C6,1,21,1478,0,0,0,0,0,0
0xA661,1,9,1633,0,0,0,0,0,0
0x3D83,0,15,1411,0,0,0,0,0,0
0x22AA,0,8,1706,0,0,0,0,0,0
0xEBC7,1,26,1991,0,0,0,0,0,0
0x63DF,0,24,2015,0,0,0,0,0,0
0x675E,0,25,1886,0,0,0,0,0,0
0x4522,0,17,1314,0,0,0,0,0,0
0x776B,0,29,1899,0,0,0,0,0,0
0xA91B,1,10,1307,0,0,0,0,0,0
0x95A9,1,5,1449,0,0,0,0,0,0
0x402F,0,16,1071,0,0,0,0,0,0
0x1E4F,0,7,1615,0,0,0,0,0,0
0x8516,1,1,1302,0,0,0,0,0,0
0xDA8F,1,22,1679,0,0,0,0,0,0
0x168C,0,5,1676,0,0,0,0,0,0
0xBA59,1,14,1625,0,0,0,0,0,0
0x3712,0,13,1810,0,0,0,0,0,0
0x22CA,0,8,1738,0,0,0,0,0,0
0x4FF5,0,19,2037,0,0,0,0,0,0
0xBE10,1,15,1552,0,0,0,0,0,0
0x1216,0,4,1558,0,0,0,0,0,0
0x8CC3,1,3,1219,0,0,0,0,0,0
0xE35F,1,24,1887,0,0,0,0,0,0
0xBCC4,1,15,1220,0,0,0,0,0,0
0xCDB7,1,19,1463,0,0,0,0,0,0
0x9D50,1,7,1360,0,0,0,0,0,0
0xE5F9,1,25,1529,0,0,0,0,0,0
0x8757,1,1,1879,0,0,0,0,0,0
0x9FAA,1,7,1962,0,0,0,0,0,0
0xFC29,1,31,1065,1,0,0,0,1,0
0xF5F7,1,29,1527,0,0,0,0,0,0
0x19C9,0,6,1481,0,0,0,0,0,0
0x87BF,1,1,1983,0,0,0,0,0,0
0xE420,1,25,1056,0,0,0,0,0,0
0x0F07,0,3,1799,0,0,0,0,0,0
0x7074,0,28,1140,0,0,0,0,0,0
0xB0AD,1,12,1197,0,0,0,0,0,0
0x45AA,0,17,1450,0,0,0,0,0,0
0x010A,0,0,266,0,0,0,0,0,1
0x2A91,0,10,1681,0,0,0,0,0,0
0x0FAB,0,3,1963,0,0,0,0,0,0
0x38DC,0,14,1244,0,0,0,0,0,0
0x603B,0,24,1083,0,0,0,0,0,0
0xCB3C,1,18,1852,0,0,0,0,0,0
0xFB26,1,30,1830,0,0,0,0,0,0
0x5D19,0,23,1305,0,0,0,0,0,0
0x8B95,1,2,1941,0,0,0,0,0,0
0xB2C1,1,12,1729,0,0,0,0,0,0
0x6AC7,0,26,1735,0,0,0,0,0,0
0x99AD,1,6,1453,0,0,0,0,0,0
0xA16F,1,8,1391,0,0,0,0,0,0
0xC6CC,1,17,1740,0,0,0,0,0,0
0x26A5,0,9,1701,0,0,0,0,0,0
0x9A08,1,6,1544,0,0,0,0,0,0
0xBC9F,1,15,1183,0,0,0,0,0,0
0x14B6,0,5,1206,0,0,0,0,0,0
0xD6A8,1,21,1704,0,0,0,0,0,0
0x6123,0,24,1315,0,0,0,0,0,0
0x5230,0,20,1584,0,0,0,0,0,0
0x29E9,0,10,1513,0,0,0,0,0,0
0x4922,0,18,1314,0,0,0,0,0,0
0x9CEF,1,7,1263,0,0,0,0,0,0
0x76E8,0,29,1768,0,0,0,0,0,0
0xAA69,1,10,1641,0,0,0,0,0,0
0xD93C,1,22,1340,0,0,0,0,0,0
0x66DD,0,25,1757,0,0,0,0,0,0
0x0718,0,1,1816,0,0,0,0,0,0
0x4CBF,0,19,1215,0,0,0,0,0,0
